Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,89.040001,89.570000,88.900002,89.269997,86.785561,2767500
2019-06-13,89.349998,89.650002,89.099998,89.650002,87.154984,2799400
2019-06-14,89.599998,90.120003,89.550003,89.699997,87.203590,2981700
2019-06-17,89.940002,90.779999,89.940002,90.660004,88.136887,3574900
2019-06-18,91.330002,91.589996,90.160004,90.570000,88.049385,4449200
2019-06-19,90.419998,91.360001,90.010002,91.059998,88.525749,3694600
2019-06-20,91.559998,91.849998,91.389999,91.519997,88.972946,4862000
2019-06-21,91.000000,91.269997,90.040001,90.230003,87.718857,7941700
2019-06-24,90.629997,90.910004,89.650002,89.919998,87.417480,3773600
2019-06-25,89.940002,90.169998,88.589996,88.589996,86.124481,5381300
2019-06-26,88.629997,88.720001,86.610001,86.820000,84.403740,12897000
2019-06-27,86.529999,87.160004,86.370003,87.099998,85.490295,6924500
2019-06-28,87.209999,87.959999,87.139999,87.400002,85.784752,9638200
2019-07-01,87.980003,87.980003,86.330002,87.360001,85.745491,9746000
2019-07-02,87.440002,88.879997,87.440002,88.879997,87.237389,7633700
2019-07-03,89.019997,90.010002,88.949997,89.940002,88.277809,5418000
2019-07-05,89.309998,89.910004,88.220001,89.620003,87.963722,5375100
2019-07-08,89.529999,90.089996,89.389999,89.940002,88.277809,4509700
2019-07-09,89.750000,90.389999,89.510002,90.239998,88.572258,4906800
2019-07-10,90.620003,91.000000,90.150002,90.760002,89.082657,6833700
2019-07-11,90.769997,90.769997,89.239998,89.580002,87.924461,4020600
2019-07-12,89.650002,89.769997,89.070000,89.459999,87.806679,2948600
2019-07-15,89.580002,89.980003,89.300003,89.389999,87.737968,3185700
2019-07-16,89.269997,89.570000,88.809998,89.180000,87.531853,3611600
2019-07-17,89.410004,89.690002,88.360001,88.879997,87.237389,6422000
2019-07-18,88.650002,89.120003,88.169998,88.879997,87.237389,7048800
2019-07-19,88.970001,89.029999,87.309998,87.430000,85.814194,5064600
2019-07-22,87.529999,87.690002,87.019997,87.349998,85.735672,3265200
2019-07-23,87.559998,88.339996,87.290001,88.339996,86.707375,4239800
2019-07-24,88.449997,88.500000,87.900002,88.410004,86.776085,2946100
2019-07-25,88.379997,88.440002,87.580002,87.889999,86.265694,5629200
2019-07-26,88.010002,88.440002,87.629997,88.290001,86.658302,3111900
2019-07-29,88.440002,89.139999,88.379997,88.529999,86.893867,4898200
2019-07-30,88.470001,89.559998,88.449997,89.239998,87.590736,3818100
2019-07-31,89.339996,89.980003,88.379997,88.889999,87.247215,5979800
2019-08-01,89.010002,89.720001,88.349998,88.889999,87.247215,8371300
2019-08-02,88.820000,89.790001,88.669998,89.320000,87.669266,4794000
2019-08-05,89.099998,89.150002,86.449997,87.559998,85.941788,6840000
2019-08-06,87.760002,89.019997,87.540001,88.529999,86.893867,7789000
2019-08-07,88.199997,89.989998,87.360001,89.389999,87.737968,8674600
2019-08-08,89.589996,90.959999,88.980003,90.959999,89.278954,5766700
2019-08-09,90.800003,91.150002,90.000000,90.849998,89.170990,3304800
2019-08-12,90.739998,90.980003,90.139999,90.610001,88.935425,2944000
2019-08-13,90.559998,91.019997,90.010002,90.739998,89.063019,4540200
2019-08-14,90.339996,90.480003,89.150002,89.360001,87.708527,4645100
2019-08-15,89.489998,90.440002,89.389999,90.250000,88.582077,4582900
2019-08-16,90.459999,91.349998,90.250000,91.180000,89.494888,3951100
2019-08-19,91.570000,92.050003,91.169998,91.839996,90.142685,3255600
